source_node,target_node,number_of_removed_directed_edges,mean_removed_edge_distance_A,baseline_prediction,edge_removed_prediction,signed_output_change,absolute_output_change
6,66,2,1.9490379095077515,0.15600550174713135,0.15601791441440582,1.2412667274475098e-05,1.2412667274475098e-05
6,60,2,1.9490433931350708,0.15600550174713135,0.15601791441440582,1.2412667274475098e-05,1.2412667274475098e-05
14,66,2,1.9490385055541992,0.15600550174713135,0.15601789951324463,1.239776611328125e-05,1.239776611328125e-05
33,68,2,1.9566494226455688,0.15600550174713135,0.15601326525211334,7.763504981994629e-06,7.763504981994629e-06
31,66,2,1.9566494226455688,0.15600550174713135,0.15601325035095215,7.748603820800781e-06,7.748603820800781e-06
25,60,2,1.9566494226455688,0.15600550174713135,0.15601325035095215,7.748603820800781e-06,7.748603820800781e-06
17,69,2,1.9490385055541992,0.15600550174713135,0.15601232647895813,6.8247318267822266e-06,6.8247318267822266e-06
1,55,2,1.9490433931350708,0.15600550174713135,0.15601232647895813,6.8247318267822266e-06,6.8247318267822266e-06
1,61,2,1.9490379095077515,0.15600550174713135,0.15601231157779694,6.809830665588379e-06,6.809830665588379e-06
13,67,2,1.9490433931350708,0.15600550174713135,0.15601231157779694,6.809830665588379e-06,6.809830665588379e-06
13,71,2,1.9490385055541992,0.15600550174713135,0.15601231157779694,6.809830665588379e-06,6.809830665588379e-06
13,55,2,1.9490379095077515,0.15600550174713135,0.15601231157779694,6.809830665588379e-06,6.809830665588379e-06
17,71,2,1.9490433931350708,0.15600550174713135,0.15601231157779694,6.809830665588379e-06,6.809830665588379e-06
17,59,2,1.9490379095077515,0.15600550174713135,0.15601231157779694,6.809830665588379e-06,6.809830665588379e-06
1,59,2,1.9490385055541992,0.15600550174713135,0.15601231157779694,6.809830665588379e-06,6.809830665588379e-06
2,38,2,1.9566494226455688,0.15600550174713135,0.15601223707199097,6.735324859619141e-06,6.735324859619141e-06
10,46,2,1.9566494226455688,0.15600550174713135,0.15601222217082977,6.720423698425293e-06,6.720423698425293e-06
4,40,2,1.9566494226455688,0.15600550174713135,0.15601222217082977,6.720423698425293e-06,6.720423698425293e-06
2,56,2,1.9490433931350708,0.15600550174713135,0.15601205825805664,6.556510925292969e-06,6.556510925292969e-06
4,64,2,1.9490379095077515,0.15600550174713135,0.15601205825805664,6.556510925292969e-06,6.556510925292969e-06
4,56,2,1.9490385055541992,0.15600550174713135,0.15601205825805664,6.556510925292969e-06,6.556510925292969e-06
2,62,2,1.9490379095077515,0.15600550174713135,0.15601205825805664,6.556510925292969e-06,6.556510925292969e-06
10,64,2,1.9490433931350708,0.15600550174713135,0.15601205825805664,6.556510925292969e-06,6.556510925292969e-06
10,62,2,1.9490385055541992,0.15600550174713135,0.15601205825805664,6.556510925292969e-06,6.556510925292969e-06
22,36,2,1.9490385055541992,0.15600550174713135,0.15600696206092834,1.4603137969970703e-06,1.4603137969970703e-06
34,48,2,1.9490385055541992,0.15600550174713135,0.15600694715976715,1.4454126358032227e-06,1.4454126358032227e-06
34,52,2,1.9490433931350708,0.15600550174713135,0.15600693225860596,1.430511474609375e-06,1.430511474609375e-06
22,52,2,1.9490379095077515,0.15600550174713135,0.15600693225860596,1.430511474609375e-06,1.430511474609375e-06
18,48,2,1.9490379095077515,0.15600550174713135,0.15600693225860596,1.430511474609375e-06,1.430511474609375e-06
18,36,2,1.9490433931350708,0.15600550174713135,0.15600693225860596,1.430511474609375e-06,1.430511474609375e-06
32,52,2,1.9490385055541992,0.15600550174713135,0.1560067981481552,1.296401023864746e-06,1.296401023864746e-06
24,36,2,1.9490379095077515,0.15600550174713135,0.1560067981481552,1.296401023864746e-06,1.296401023864746e-06
30,48,2,1.9490433931350708,0.15600550174713135,0.1560067981481552,1.296401023864746e-06,1.296401023864746e-06
3,39,2,1.9566494226455688,0.15600550174713135,0.15600448846817017,-1.0132789611816406e-06,1.0132789611816406e-06
11,47,2,1.9566494226455688,0.15600550174713135,0.15600448846817017,-1.0132789611816406e-06,1.0132789611816406e-06
5,41,2,1.9566494226455688,0.15600550174713135,0.15600448846817017,-1.0132789611816406e-06,1.0132789611816406e-06
29,41,2,1.9490379095077515,0.15600550174713135,0.15600457787513733,-9.238719940185547e-07,9.238719940185547e-07
27,39,2,1.9490379095077515,0.15600550174713135,0.15600457787513733,-9.238719940185547e-07,9.238719940185547e-07
21,41,2,1.9490385055541992,0.15600550174713135,0.15600457787513733,-9.238719940185547e-07,9.238719940185547e-07
21,39,2,1.9490433931350708,0.15600550174713135,0.15600457787513733,-9.238719940185547e-07,9.238719940185547e-07
27,47,2,1.9490385055541992,0.15600550174713135,0.15600457787513733,-9.238719940185547e-07,9.238719940185547e-07
8,44,2,1.9566494226455688,0.15600550174713135,0.15600457787513733,-9.238719940185547e-07,9.238719940185547e-07
