node_index,element,baseline_prediction,masked_prediction,absolute_output_change,distance_from_defect_A,is_explicit_defect_atom
8,Ga,0.15600550174713135,0.1475900262594223,0.008415475487709045,5.112725845206398,False
3,Ga,0.15600550174713135,0.14759844541549683,0.008407056331634521,5.177289134582256,False
11,Ga,0.15600550174713135,0.14759844541549683,0.008407056331634521,5.177288291107193,False
5,Ga,0.15600550174713135,0.14759844541549683,0.008407056331634521,5.177290670052346,False
21,Ga,0.15600550174713135,0.14760130643844604,0.008404195308685303,4.981629134343432,False
29,Ga,0.15600550174713135,0.14760132133960724,0.008404180407524109,4.981628038588181,False
27,Ga,0.15600550174713135,0.14760132133960724,0.008404180407524109,4.9816303136461215,False
26,Ga,0.15600550174713135,0.14768515527248383,0.008320346474647522,6.398716860469666,False
28,Ga,0.15600550174713135,0.14768515527248383,0.008320346474647522,6.398715089255712,False
20,Ga,0.15600550174713135,0.14768517017364502,0.008320331573486328,6.398715942340315,False
7,Ga,0.15600550174713135,0.1477275937795639,0.008277907967567444,6.080590418228991,False
15,Ga,0.15600550174713135,0.1477275937795639,0.008277907967567444,6.0805913159453135,False
9,Ga,0.15600550174713135,0.1477275937795639,0.008277907967567444,6.080592282109385,False
72,Ga,0.15600550174713135,0.15007761120796204,0.0059278905391693115,0.0,True
70,N,0.15600550174713135,0.1537691056728363,0.002236396074295044,2.055261018659497,False
58,N,0.15600550174713135,0.1537691056728363,0.002236396074295044,2.055258805881329,False
54,N,0.15600550174713135,0.1537691056728363,0.002236396074295044,2.0552615498482867,False
49,N,0.15600550174713135,0.15378497540950775,0.002220526337623596,2.494279072366795,False
37,N,0.15600550174713135,0.15378499031066895,0.0022205114364624023,2.4942808956722344,False
53,N,0.15600550174713135,0.15378499031066895,0.0022205114364624023,2.494281333366185,False
52,N,0.15600550174713135,0.1549859195947647,0.0010195821523666382,3.963211779908354,False
36,N,0.15600550174713135,0.1549859344959259,0.0010195672512054443,3.963211504441926,False
48,N,0.15600550174713135,0.1549859344959259,0.0010195672512054443,3.963210356929381,False
60,N,0.15600550174713135,0.15507078170776367,0.0009347200393676758,3.7938584007751897,False
68,N,0.15600550174713135,0.15507078170776367,0.0009347200393676758,3.7938595518232243,False
66,N,0.15600550174713135,0.15507079660892487,0.0009347051382064819,3.7938616472016875,False
39,N,0.15600550174713135,0.15538400411605835,0.000621497631072998,4.048544137175058,False
41,N,0.15600550174713135,0.15538400411605835,0.000621497631072998,4.048546100738155,False
47,N,0.15600550174713135,0.15538401901721954,0.0006214827299118042,4.048543058536822,False
57,N,0.15600550174713135,0.1556444764137268,0.000361025333404541,6.483641248299338,False
63,N,0.15600550174713135,0.155644491314888,0.00036101043224334717,6.483642154402667,False
65,N,0.15600550174713135,0.155644491314888,0.00036101043224334717,6.483640406388778,False
46,N,0.15600550174713135,0.15564778447151184,0.00035771727561950684,5.086876167084474,False
40,N,0.15600550174713135,0.15564779937267303,0.000357702374458313,5.086878588312037,False
38,N,0.15600550174713135,0.15564781427383423,0.00035768747329711914,5.086877025551127,False
62,N,0.15600550174713135,0.1556510627269745,0.00035443902015686035,4.95607203510452,False
64,N,0.15600550174713135,0.15565109252929688,0.00035440921783447266,4.956069748314185,False
56,N,0.15600550174713135,0.15565109252929688,0.00035440921783447266,4.956070849720208,False
50,N,0.15600550174713135,0.15568296611309052,0.0003225356340408325,6.0037976183050965,False
44,N,0.15600550174713135,0.1556829810142517,0.00032252073287963867,6.003798596827231,False
42,N,0.15600550174713135,0.1556829810142517,0.00032252073287963867,6.003796709106215,False
61,N,0.15600550174713135,0.1558690071105957,0.00013649463653564453,5.645203905470083,False
69,N,0.15600550174713135,0.1558690071105957,0.00013649463653564453,5.645204679031799,False
67,N,0.15600550174713135,0.1558690071105957,0.00013649463653564453,5.645206087231015,False
59,N,0.15600550174713135,0.15587139129638672,0.0001341104507446289,4.65822437505483,False
55,N,0.15600550174713135,0.15587139129638672,0.0001341104507446289,4.6582255857232795,False
71,N,0.15600550174713135,0.15587139129638672,0.0001341104507446289,4.6582253513568315,False
43,N,0.15600550174713135,0.15592679381370544,7.870793342590332e-05,5.1536362582015105,False
51,N,0.15600550174713135,0.15592679381370544,7.870793342590332e-05,5.153637317384742,False
45,N,0.15600550174713135,0.15592680871486664,7.869303226470947e-05,5.153638457326947,False
