feature,PC1_loading,PC2_loading,PC1_absolute_loading,PC2_absolute_loading
count_N,-0.07944531327688398,-0.21694468723593335,0.07944531327688398,0.21694468723593335
fraction_Mg,0.13730718264505742,-0.13616986316202137,0.13730718264505742,0.13616986316202137
count_Mg,0.1373071826450574,-0.13616986316202132,0.1373071826450574,0.13616986316202132
fraction_Si,0.06416845200125007,-0.03911898569196742,0.06416845200125007,0.03911898569196742
count_Si,0.06416845200125006,-0.039118985691967416,0.06416845200125006,0.039118985691967416
fraction_O,0.0522751900685553,0.08763308772053681,0.0522751900685553,0.08763308772053681
count_O,0.05227519006855531,0.0876330877205368,0.05227519006855531,0.0876330877205368
fraction_C,0.029984957085168053,0.14484853406054113,0.029984957085168053,0.14484853406054113
count_C,0.02998495708516804,0.1448485340605411,0.02998495708516804,0.1448485340605411
number_of_sites,-0.15437177181806228,-0.10789748451090253,0.15437177181806228,0.10789748451090253
volume_per_atom_A3,0.1534710040549928,0.10766514066045453,0.1534710040549928,0.10766514066045453
density_g_cm3,-0.16687105104958608,0.05388240423112683,0.16687105104958608,0.05388240423112683
space_group_number,0.12293612174720417,0.06773353767332714,0.12293612174720417,0.06773353767332714
defect_center_fractional_x,0.022522666253469784,0.07578136015833302,0.022522666253469784,0.07578136015833302
defect_center_fractional_y,0.0919969275354742,0.008501221959595037,0.0919969275354742,0.008501221959595037
defect_center_fractional_z,0.1621267701608132,0.06333722072464631,0.1621267701608132,0.06333722072464631
neighbors_within_4A,0.17573673650086863,0.08386728509310433,0.17573673650086863,0.08386728509310433
nearest_neighbor_distance_A,0.02392767860148073,-0.012774846486448178,0.02392767860148073,0.012774846486448178
mean_4_nearest_distance_A,-0.046342093083090265,-0.05072878683624747,0.046342093083090265,0.05072878683624747
std_4_nearest_distance_A,-0.05804919340609849,-0.007394967821225967,0.05804919340609849,0.007394967821225967
min_4_nearest_distance_A,0.02392767860148073,-0.012774846486448178,0.02392767860148073,0.012774846486448178
max_4_nearest_distance_A,-0.12369576023406884,-0.05011521811058712,0.12369576023406884,0.05011521811058712
range_4_nearest_distance_A,-0.059072259522893716,-0.00801983990510621,0.059072259522893716,0.00801983990510621
Ga_among_4_nearest,-0.03639089432282416,0.2281943905700286,0.03639089432282416,0.2281943905700286
N_among_4_nearest,0.03639089432282416,-0.2281943905700286,0.03639089432282416,0.2281943905700286
Ga_among_6_nearest,-0.05859491560247128,0.21942082671072446,0.05859491560247128,0.21942082671072446
N_among_6_nearest,0.05859491560247128,-0.21942082671072446,0.05859491560247128,0.21942082671072446
neighbor_1_distance_A,0.023904449751808384,-0.012787910539322735,0.023904449751808384,0.012787910539322735
neighbor_2_distance_A,0.01193338091786127,-0.01933219873872754,0.01193338091786127,0.01933219873872754
neighbor_3_distance_A,-0.16179202327728243,-0.07533056794408814,0.16179202327728243,0.07533056794408814
neighbor_4_distance_A,-0.12369049994281026,-0.05011121343328762,0.12369049994281026,0.05011121343328762
neighbor_5_distance_A,0.19605060825966683,0.10627320962838711,0.19605060825966683,0.10627320962838711
neighbor_6_distance_A,0.19541936445599414,0.10717825017803538,0.19541936445599414,0.10717825017803538
neighbor_7_distance_A,0.1951091856947751,0.10367043961608713,0.1951091856947751,0.10367043961608713
neighbor_8_distance_A,0.19427487838847865,0.10681116962660238,0.19427487838847865,0.10681116962660238
neighbor_9_distance_A,0.19464042852321192,0.10771170741872309,0.19464042852321192,0.10771170741872309
neighbor_10_distance_A,0.18385988990297888,0.10738812097853538,0.18385988990297888,0.10738812097853538
neighbor_11_distance_A,0.18392748105134676,0.10791459767281267,0.18392748105134676,0.10791459767281267
neighbor_12_distance_A,0.1713961571640706,0.10491157882429042,0.1713961571640706,0.10491157882429042
